BANK,IFSC,MICR,BRANCH,ADDRESS,CONTACT,CITY,DISTRICT,STATE,ABBREVIATION
HDFC Bank,HDFC0CSSCB1,423804001,Devyani Sahakari Bank Maryadit Kopargaon,Court Road Kopargaon - 423601,9881931462.0,Ahmadnagar,Ahmadnagar,Maharashtra,HDFC
HDFC Bank,HDFC0CSSBKN,577811002,Shiva Sahakari Bank Niyamita,"Administrative Office, Post Office Box No 48, Old Hospital Road, Davangere - 577001",2256107.0,Davangere,Davangere,Karnataka,HDFC
HDFC Bank,HDFC0CSSB09,440182011,Shikshak Sahakari Bank Ltd,C.A Road Nagpur,2722651.0,Nagpur,Nagpur,Maharashtra,HDFC
HDFC Bank,HDFC0CSPUCB,402806051,Shri Patneshwar Urb CO OP Bank Ltd,AT Sarswati Niwas Below Post Office Office Pen Near ST Stand Pen Raigad,2143254470.0,Pen,Raigad,Maharashtra,HDFC
HDFC Bank,HDFC0CSPCBL,383810501,The Sathamba Peoples CO Bank Ltd,"At&Post Office Sathamba, Ta:Bayad, Sabarkatha - 383340",284251.0,Sathamba,Sabar Kantha,Gujarat,HDFC
HDFC Bank,HDFC0CSNSBM,462310002,Sadguru Nagrik Sahakari Bank Mydt,"E-5/13, First Floor, Ravishankar Nagar, Arera Colony Bhopal - 16",4027400.0,Bhopal,Bhopal,Madhya Pradesh,HDFC
HDFC Bank,HDFC0CSNCBL,380215001,Saraspur Nagarik CO. OP. Bank Ltd,"1, Darshan Society, Stadium Commerce College Road, Navrangpura, Ahmedabad - 380009",26461630.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CSMSSB,380124251,Shri Mahila Sewa Sahakari Bank Ltd,"109, Sakar 2, Opp Town Hall, Ellisbridge, Ahmedabad - 380006",26581597.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CSMPBA,413916452,Shankarrao Mohite Patil Sah.Bank,"Sahakar Mandir, Mahavir Path, Akluj.Tal:-Malshiras, Solapur",9890790444.0,Akluj,Solapur,Maharashtra,HDFC
HDFC Bank,HDFC0CSLCBL,411465001,Shree Laxmi CO OP Bank Ltd Pune,"Parvati Industrial Estate, Pune Satara Road, Opp Adinath Society, Pune - 411009",24222699.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSLABK,416583002,Subhadra Local Area Bank Ltd,"399, E, Opp Basant Bahar Talkies, Shahupuri, Kolhapur",652585.0,Kolhapur,Kolhapur,Maharashtra,HDFC
HDFC Bank,HDFC0CSID10,413802505,Siddheshwar Sahakari Bank Ltd Latur,Main Road Behind Gram Panchayat Karyalaya Andur Tuljapur Osmanabad - 413603,246633.0,Latur,Osmanabad,Maharashtra,HDFC
HDFC Bank,HDFC0CSID07,413802502,Siddheshwar Sahakari Bank Ltd Latur,Mirkale Complex MG Road Ahmedpur Latur - 413515,246433.0,Latur,Latur,Maharashtra,HDFC
HDFC Bank,HDFC0CSID06,413802501,Siddheshwar Sahakari Bank Ltd Latur,Mukteshwar High School1Shopping Complex Ausa Latur - 413520,220433.0,Latur,Latur,Maharashtra,HDFC
HDFC Bank,HDFC0CSHSBL,,"Sharad Sahakari Bank Ltd, Manchar","Market Yard-Manchar, Tal -Ambegaon, Pune - 410503",223603.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSHNBL,385810501,Shihori Nagrik Sahakari Bank Ltd,"Near ST Stand, Shihori, TA Kankrej, Banaskantha - 385550",9427064914.0,Shihori,Banas Kantha,Gujarat,HDFC
HDFC Bank,HDFC0CSHIVA,577811152,Shiva Sahakari Bank Niyamita,"Vishvabandu Marulasidda Nilaya, Municipal Office Road, Shikaripura - 577427",223081.0,Shikaripur,Shimoga,Karnataka,HDFC
HDFC Bank,HDFC0CSGUCB,413917452,Sadguru Gahininath Sah Bank Ltd,"Bhagwan Mahaveer Path, Near Post Office Office A/P Akluj TQ Akluj Solapur",9422650950.0,Akluj,Solapur,Maharashtra,HDFC
HDFC Bank,HDFC0CSCOBL,380258002,Siddhi Co-Operative Bank Ltd,"Dhanlaxmi Cloth Market No1, Revdi Bazar, Kalupur, Ahmedabad - 380001",22165914.0,Ahmedabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CSCBL2,380130002,The Social Coop Bank Ltd,"Shri Mahesh Jaswant Shah Bhavan, Next TO Khamasa Police Station, Khamasa, Ahmedabad - 380001",,Ahmadabad,Ahmadabad,Gujarat,HDFC
HDFC Bank,HDFC0CSCBL1,400068322,"The Sarvodaya Co-Op Bank Ltd, Mum","6, 7, Sheetal Apartment, S.P.S. Road, Bhandup (West), Mumbai - 400078",25953642.0,Mumbai,Greater Bombay,Maharashtra,HDFC
HDFC Bank,HDFC0CSCBHO,560226287,Suvarna Cooperative Bank Ltd,"62, Sanjeevappa Lane, Avenue Road Cross Bangalore - 560002",22110072.0,Bangalore,Bangalore Urban,Karnataka,HDFC
HDFC Bank,HDFC0CSCB29,700002251,The Shibpur Cooperative Bank Ltd,173 And 174 Shibpur Road Shibpur Howrah - 711102,990354766.0,Kolkata,Kolkata,West Bengal,HDFC
HDFC Bank,HDFC0CSBLIN,700099002,Sonali Bank Ltd,"14 Park Mansion, 57A Park Street, Kolkata - 700016",22293788.0,Kolkata,Kolkata,West Bengal,HDFC
HDFC Bank,HDFC0CSBL27,,Sadhana Sahakari Bank Ltd,Vashi Ware House Unit No 15 Plot No 2A Sector 19C Vashi Navi Mumbai - 400703,8888873573.0,Mumbai,Greater Bombay,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL26,,Sadhana Sahakari Bank Ltd,Gat No 446 Shop No Matoshree Pride Alephata Tal Junnar Pune - 412411,8888873511.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL19,411174602,Sadhana Sahakari Bank Ltd,SR No 202 5A 16 Sant Dnyaneshwar Nagar Shastri Chowk Bhosari Pune - 411039,8888873569.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL10,411174426,Sadhana Sahakari Bank Ltd Hadapsar,"S.N.3A, Hissa No 11, Keshav Nagar Chowk, Mundhwa, Pune",26890429.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL08,411174321,Sadhana Sahakari Bank Ltd Hadapsar,"581/6 A, G.S. Towers, Opp Pmt Bus Depo, Market Yard, Pune",24261330.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL05,411174411,Sadhana Sahakari Bank Ltd Hadapsar,"SR. No 616/2, Aanand Plaza, 1St Floor, Shop No 14 15, Near Relience Petrol Pump, Purandar, Pune",225097.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL04,411174315,Sadhana Sahakari Bank Ltd Hadapsar,"Ratan Villa, Opp of Anant Talkies, Ghorpadi Gaon, Pune - 411001",32532202.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL03,411174316,Sadhana Sahakari Bank Ltd Hadapsar,"AT Post Office Loni Kalbhor, Tal-Haveli, Pune - 412201",26913300.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBL02,411174310,Sadhana Sahakari Bank Ltd Hadapsar,"S.N. 225/4, Shivam Complex, Aakashwani, Hadapsar, Pune - 411028",26990563.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBB15,411291015,Shivajirao Bhosale Sah Bank Ltd,No 34 Hissar No2 Flat No7 And Shivkrupa Cmpx Dattanagar Ambegaon Budruk Katraj Pune - 411046,9689989905.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBB13,411291013,Shivajirao Bhosale Sah Bank Ltd,No 311 Hissa No 15 A1 Anusaya Building Sasane Nagar Hadapsar Pune - 411028,9689989905.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBB12,411291012,Shivajirao Bhosale Sah Bank Ltd,"Suyash Plaza, Cts, No 796/15, Plot No 184A, Bhandarkar Road, Deccan Gymkhana, Pune - 4",25663349.0,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBB10,411291010,Shivajirao Bhosale Sah Bank Ltd,"AT Post Office Yawat, Tal-Dound, Pune - 412214",274084/85,Pune,Pune,Maharashtra,HDFC
HDFC Bank,HDFC0CSBB09,411291009,Shivajirao Bhosale Sah Bank Ltd,"Rutuja Apartment, Nda Road, Warje Malwadi, Pune - 411029",25237293.0,Pune,Pune,Maharashtra,HDFC
