Bank of Baroda,BARB0JABMIR,231012002,"Mirzapur Main BR, UP","Dankeenganj, Mirzapur, UP - 231001",1800223344.0,Mirzapur,Mirzapur,Uttar Pradesh,
Bank of Baroda,BARB0JABMED,,Jabalpur Medical College,"Jabalpur Medical College, Jabalpur, Madhya Pradesh - 482003",1800223344.0,Jabalpur,Jabalpur,Madhya Pradesh,
Bank of Baroda,BARB0JABALP,482012001,Jabalpur Branch,"33, Napier Town Jabalpur",1800223344.0,Jabalpur,Jabalpur,Madhya Pradesh,
Bank of Baroda,BARB0INDGAN,,"Indra Gandhi Nagar, Raj","1-Sc-72, AB Tower, Indra Gandhi Nagar, Jagatpura, Jaipur, Rajasthan - 302015",1800223344.0,Jaipur,Jaipur,Rajasthan,
Bank of Baroda,BARB0HABRAX,700012063,"Habra, 24 Parganas","Jessore Road, Kamrthuba P.O. Habra, 24 Parganas (North), W.B - 749863",1800223344.0,Habra,North 24 Parganas,West Bengal,
Bank of Baroda,BARB0HABIBG,462012005,Habibagunj Branch,"Habibagunj Branch, Habibganj, Bhopal - 462016",1800223344.0,Bhopal,Bhopal,Madhya Pradesh,
Bank of Baroda,BARB0GULABP,311012101,Gulabpura Branch,"Gulabpura Branch, Gulabpura - 311021",1800223344.0,Gulabpura,Bhilwara,Rajasthan,
Bank of Baroda,BARB0GULABB,854012103,"Gulab Bagh, Purnea, Bihar","AT Po-Gulabagh, Purnea, Bihar - 854326",1800223344.0,Purnea,Purnea,Bihar,
Bank of Baroda,BARB0GABSUL,,Gabharia Crossing,"Gabharia Crossing, Sultanpur, Sultanpur Dt, Uttar Pradesh - 228142",1800223344.0,Sultanpur,Sultanpur,Uttar Pradesh,
Bank of Baroda,BARB0FAIZAB,224012002,Vishnu Market,"Vishnu Market, Motibagh, Faizabad - 224001",1800223344.0,Faizabad,Faizabad,Uttar Pradesh,
Bank of Baroda,BARB0EXTHAB,,"M.P.Housing Board Extension Counter, Bhopal","M.P.Housing Board EC, Bittan Market Bhopal - 462016",1800223344.0,Bhopal,Bhopal,Madhya Pradesh,
Bank of Baroda,BARB0DHABUL,396012536,"Dharampur, Valsad","Prabhu Faliya, Dharampur, Valsad - 396050",1800223344.0,Dharampur,Valsad,Gujarat,
Bank of Baroda,BARB0DABRAX,,Dabra,"Near Bus Stand, Jhansi Road, Gwalior, Madhya Pradesh - 75110",1800223344.0,Dabra,Gwalior,Madhya Pradesh,
Bank of Baroda,BARB0DABMUS,,"Dabhaura Mustkam, Uttaranchal","Vill Dabhaura Mustkam, Post Office Industrial Estate, Kashipur, US Nagar, Uttarakhand - 244713",1800223344.0,Kashipur,Udham Singh Nagar,Uttarakhand,
Bank of Baroda,BARB0DABLAX,311012507,"Dabla, Bhilwara, Rajasthan","Dabla, Tehsil Banera, Bhilwara, Rajasthan - 305626",1800223344.0,Dabla,Bhilwara,Rajasthan,
Bank of Baroda,BARB0DABIXX,323012505,"Dabi, Rajasthan","Dabi, Bundi, Rajasthan - 323022",1800223344.0,Dabi,Bundi,Rajasthan,
Bank of Baroda,BARB0DABHOU,388012512,"Dabhou, Anand, Gujarat","Dabhou, Tal. Sujjtra, Anand, Gujarat - 387210",1800223344.0,Dabhou,Anand,Gujarat,
Bank of Baroda,BARB0DABHOI,391012061,"Dabhoi, Vadodara","Dabhoi, Baroda - 391110",1800223344.0,Dabhoi,Vadodara,Gujarat,
Bank of Baroda,BARB0DABHEL,396012516,"Dabhel, Gujarat","Dabhel, Tal.Jalalpore, Navsari, Bulsar, Gujarat - 396415",1800223344.0,Dabhel,Navsari,Gujarat,
Bank of Baroda,BARB0DABHAU,,"Dabhaura, Up","Dabhaura, Jaitipur, Tehsil Tilhar Post Office Dabhaura, Shahjahanpur, Uttar Pradesh - 242307",1800223344.0,Shahjahanpur,Shahjahanpur,Uttar Pradesh,
Bank of Baroda,BARB0DABHAN,387012502,Dabhan Kheda,"Near Swaminarayan Temple, Dabhan, Khaira-, Gujarat - 387320",1800223344.0,Dabhan,Kheda,Gujarat,
Bank of Baroda,BARB0DABGAN,243012511,"Daboragangapur, Bareilly, UP","Vill. Dabora Gangapur, Bareilly, Uttar Pradesh - 243001",1800223344.0,Dabora Gangapur,Bareilly,Uttar Pradesh,
Bank of Baroda,BARB0DABASA,361012503,"Dabasang, Jamnagar",Near Police Station Lalpur Jamnagar - 361170,1800223344.0,Dabasang,Jamnagar,Gujarat,
Bank of Baroda,BARB0COLABA,400012020,Colaba Branch,"Colaba Branch, Esperanca, S.B.S. Road, Colaba Causeway, Mumbai - 400039",1800223344.0,Mumbai,Greater Mumbai,Maharashtra,
Bank of Baroda,BARB0CMRABS,641012007,Sastri Road Branch,"Sastri Road Branch, 216, Sastri Road, Ramnagar, Coimbator - 641009",1800223344.0,Coimbatore,Coimbatore,Tamil Nadu,
Bank of Baroda,BARB0CHUNAB,400012018,Chunabhatti-Mumbai,"Krishnalaya33 &1/34 Sion Dunkan Causway, Chunabhatti, Mumbai - 400022",1800223344.0,Mumbai,Greater Mumbai,Maharashtra,
Bank of Baroda,BARB0CHITAB,,Chitabaragaon,Chitabaragaon Post Office Chitabaragaon Ballia Uttar Pradesh - 221713,1800223344.0,Chitbaragaon,Ballia,Uttar Pradesh,
Bank of Baroda,BARB0CHHABR,325012027,"Chhabra BR., Baran, Rajasthan","Hill View Colony, Main Road, Dharnawada Choraha, Chabra, Baran, Rajasthan - 325220",1800223344.0,Chhabra,Baran,Rajasthan,
Bank of Baroda,BARB0CHHABA,390012036,Navayard Branch,"Navayard Branch, Indulal Yagnik Trust Bldg., Opp Chhani Naka, Baroda - 390002",1800223344.0,Vadodara,Vadodara,Gujarat,
Bank of Baroda,BARB0CHANAB,,Chanadahandi,"Main Road, Near Block Office, Infront of Busstand, Chandahandi, Nawrangpur, Orissa - 764007",1800223344.0,Chandahandi,Nowrangpur,Odisha,
Bank of Baroda,BARB0BURRAB,700012007,Burrabazar Branch,"Burrabazar Branch, 8/C, Maharshi Debendra Road, Calcutta - 700007",1800223344.0,Kolkata,Kolkata,West Bengal,
Bank of Baroda,BARB0BRABOU,700012006,Brabourn RD. Branch,"Brabourn RD. Branch, 4, Brabourne Road, Calcutta - 700001",1800223344.0,Kolkata,Kolkata,West Bengal,
Bank of Baroda,BARB0BIAORA,,Biaora,Murad Market Old AB Road Biaora Rajgarh Madhya Pradesh - 465674,1800223344.0,Biaora,Rajgarh,Madhya Pradesh,
Bank of Baroda,BARB0BHULAB,400012010,B.D.Road Branch,"B.D.Road Branch, 47, Saraswati Sadan, Bhulabhai Desai Road Vati, Mumbai - 400026",1800223344.0,Mumbai,Greater Mumbai,Maharashtra,
Bank of Baroda,BARB0BHAUAB,,Bahua Bazar,"Post Office Bahua Bazar, Tehsil Nawabgang, Bareilly Uttar Pradesh - 263406",1800223344.0,Nawabganj,Bareilly,Uttar Pradesh,
Bank of Baroda,BARB0BHABRA,457012511,"Bhabra, MP","Main Road, Bhabra Jhabua Bhopal Madhya Pradesh - 457882",1800223344.0,Bhabra,Jhabua,Madhya Pradesh,
Bank of Baroda,BARB0BHABOM,400012007,Bhandup-Mumbai,"Laxmi Chhaya, Ramkrishna Wadi, Bhandup, Mumbai - 78",1800223344.0,Mumbai,Greater Mumbai,Maharashtra,
Bank of Baroda,BARB0BHABIT,243012501,"Bhandsar, Bareilly, UP","Bhandsar, Bareilly, Uttar Pradesh - 243001",1800223344.0,Bhandsar,Bareilly,Uttar Pradesh,
